station_code,datetime_UTC,t_out,rh_out,dew_point,wind_s,lat,long,time_zone
724950-23254,2023-01-08T13:00:00Z,12.8,83.24066674905016,10,5.7,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-08T14:00:00Z,12.8,83.24066674905016,10,4.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-08T15:00:00Z,12.2,86.55343187951328,10,2.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-08T16:00:00Z,13.3,80.58638832204204,10,3.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-08T17:00:00Z,14.4,78.10988259350735,10.6,5.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-08T18:00:00Z,16.1,64.7015937845352,9.4,4.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-08T19:00:00Z,16.7,57.85033237521105,8.3,3.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-08T20:00:00Z,16.7,57.85033237521105,8.3,3.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-08T21:00:00Z,17.2,54.184406083493556,7.8,3.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-08T22:00:00Z,17.2,52.020564951600576,7.2,4.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-08T23:00:00Z,16.7,57.85033237521105,8.3,3.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-09T00:00:00Z,15,67.12507868748632,8.9,2.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-09T01:00:00Z,14.4,69.76088010396501,8.9,2.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-09T02:00:00Z,13.9,72.04437966056288,8.9,1.5,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-09T03:00:00Z,12.8,79.98790539622009,9.4,0,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-09T04:00:00Z,12.2,86.55343187951328,10,0,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-09T05:00:00Z,12.2,93.06441564439825,11.1,1.5,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-09T06:00:00Z,12.8,89.50565960065944,11.1,2.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-09T07:00:00Z,12.8,86.60858618959226,10.6,0,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-09T08:00:00Z,12.2,93.06441564439825,11.1,0,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-09T09:00:00Z,13.15,91.92113953286352,11.85,3.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-09T10:00:00Z,13.3,90.12948108702672,11.7,6.2,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-09T11:00:00Z,13.9,89.58514190275258,12.2,6.2,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-09T12:00:00Z,13.9,93.14701747293063,12.8,5.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-09T13:00:00Z,13.933333333333334,94.37108130600427,13.033333333333333,4.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-09T14:00:00Z,14.4,93.1709391466003,13.3,4.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-09T15:00:00Z,14.3,95.79633142386582,13.625,4.625,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-09T16:00:00Z,14.233333333333334,92.17405180359185,12.966666666666667,4.8,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-09T17:00:00Z,14.15,86.73100916454611,11.95,3.35,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-09T18:00:00Z,13.9,86.70853815790846,11.7,3.1,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-09T19:00:00Z,14.4,78.10988259350735,10.6,4.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-09T20:00:00Z,15,72.23481564768205,10,3.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-09T21:00:00Z,15,64.47357002962514,8.3,1.5,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-09T22:00:00Z,15,62.33445266938521,7.8,1.5,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-09T23:00:00Z,15.6,62.04534456098673,8.3,0,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-10T00:00:00Z,14.4,67.006614390546,8.3,0,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-10T01:00:00Z,13.3,74.89365474950532,8.9,0,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-10T02:00:00Z,10.6,89.34300317506171,8.9,1.5,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-10T03:00:00Z,10,89.29776450630827,8.3,0,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-10T04:00:00Z,9.4,89.85514238323358,7.8,1.5,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-10T05:00:00Z,8.9,89.2138227339852,7.2,1.5,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-10T06:00:00Z,8.3,96.70051413624209,7.8,0,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-10T07:00:00Z,8.9,92.89825299638285,7.8,0,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-10T08:00:00Z,10,89.29776450630827,8.3,2.6,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-10T09:00:00Z,10,92.95451778786776,8.9,0,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-10T10:00:00Z,11.666666666666666,88.71424944001247,9.8,9.5,37.978,-122.0311,America/Los_Angeles
724950-23254,2023-01-10T11:00:00Z,12.2,74.71635181771758,7.8,8.8,37.978,-122.0311,America/Los_Angeles
